title,genres,keywords,spoken_languages,overview,production_countries
The Out-of-Towners,Comedy,"new york, travel, misfortune",English,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",United States of America
The Island of Dr. Moreau,"Fantasy, Horror, Science Fiction","monster, experiment, island, mutation, genetics, hybrid, remake, h. g. wells",English,A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific result,United States of America
The Musketeer,"Action, Adventure, Drama","loss of family, queen, power, power takeover, kingdom, royalty, musketeer, murder hunt","English, Magyar","In Peter Hyams's adaptation of the famous Alexander Dumas story The Three Musketeers, the young D'Artagnan seeks to join the legendary musketeer brigade and avenge his father's death - but he finds th","United Kingdom, United States of America, Germany, Luxembourg"
The Other Boleyn Girl,Drama,"england, sister sister relationship, queen, kingdom, henry viii",English,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's ","United Kingdom, United States of America"
Sweet November,"Drama, Romance","workaholic, dogsitter",English,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson cause",United States of America
The Reaping,Horror,"river, miracle, bible, louisiana, frog, grasshopper, faith","Español, English","Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plag",United States of America
Mean Streets,"Drama, Crime","epilepsy, protection money, secret love, money, redemption","English, Italiano","A small-time hood must choose from among love, friendship and the chance to rise within the mob.",United States of America
Renaissance Man,"Comedy, War","vietnam veteran, commercial, advertising expert, kaserne, stau, soldier, unemployment, woman director, teachers and students","English, Español","Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to A","Canada, United States of America"
Colombiana,"Action, Thriller, Crime, Drama","street gang, uncle, female assassin, witness to murder","English, Español","Zoe Saldana plays a young woman who, after witnessing her parents’ murder as a child in Bogota, grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time ",France
Quest for Camelot,"Fantasy, Animation, Drama, Romance, Family",,English,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthu",United States of America
City By The Sea,"Crime, Drama, Mystery","murder, homicide detective",English,A man struggling to come to terms with the sins of his father makes the terrible discovery that his own son has fallen into a life of crime in a drama based on a true story. Vincent LaMarca is a dedic,United States of America
At First Sight,"Drama, Romance","blind, massage therapist",English,A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,United States of America
Torque,Action,"ex-girlfriend, drug dealer, gang, motorcyclist",English,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford i","Australia, United States of America"
City Hall,"Drama, Thriller","corruption, undercover, war on drugs, mayor, drug dealer, presidential election, undercover agent, investigation, police, drug",English,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",United States of America
Showgirls,Drama,"dancing, female nudity, go-go dancer, spanner, seduction, striptease, sexappeal",English,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,"France, United States of America"
Marie Antoinette,"Drama, History","shoe, voice over, rite, theatre audience, bride and groom, death of king, applause, woman director","English, Français, Latin","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and ultimately the fall of Versailles.","France, United States of America, Japan"
Kiss of Death,"Action, Crime, Drama, Thriller",hoodlum,English,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall",United States of America
Get Carter,"Action, Drama, Thriller, Crime","ritual, pornographic video, car crash, dvd",English,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the dea",United States of America
The Impossible,"Thriller, Drama","thailand, tsunami, family vacation, tidal wave, catastrophe, swept away, separation from family, boxing day, 21st century","English, Español, svenska, ภาษาไทย","In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare","United States of America, Spain"
Ishtar,"Action, Adventure, Comedy","wilderness, sahara, beautiful woman, singer, escape, woman director",English,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow",United States of America
Fantastic Mr. Fox,"Adventure, Animation, Comedy, Family","fox, tree, peasant, revenge, cider, tale, farm life",English,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family",United States of America
Life or Something Like It,"Comedy, Drama, Romance",,English,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, w","Canada, United States of America"
Memoirs of an Invisible Man,"Comedy, Fantasy, Science Fiction",invisible man,English,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.","France, United States of America"
Amélie,"Comedy, Romance","paris, love triangle, ghost train, sex-shop, shyness, montmartre, daughter, garden gnome, journey round the world, photography","Français, Pусский","At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and a","France, Germany"
New York Minute,Comedy,"twin sister, music video, geek, vacation, university, teen comedy, woman director",English,Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involvin,United States of America
Alfie,Comedy,"new york, cheating, flirt, lover, older woman seduces younger guy, playboy",English,"In Manhattan, the British limousine driver Alfie is surrounded by beautiful women, having one night stands with all of them and without any sort of commitment. His best friends are his colleague Marlo","United Kingdom, United States of America"
Big Miracle,"Adventure, Drama, Romance","whale, alaska, aftercreditsstinger, duringcreditsstinger, greenpeace, animal protection",English,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under th","United Kingdom, United States of America"
The Deep End of the Ocean,"Drama, Mystery","kidnapping, boy, reunion",English,"Michelle Pfeiffer is ferocious in the role of a desperate mother whose 3-year-old son disappears during her high school reunion. Nine years later, by chance, he turns up in the town in which the famil",United States of America
FearDotCom,"Horror, Thriller","race against time, psychopath, homepage, cop, doctor, spirit, killer, voyeurism","English, Pусский","With four corpses on his hands, New York City gumshoe Mike Reilly (Stephen Dorff) teams with Department of Health worker Terry Huston (Natascha McElhone) to track down a homicidal sadist who telecasts","Germany, Luxembourg, United Kingdom, United States of America"
Cirque du Freak: The Vampire's Assistant,"Adventure, Fantasy, Action, Thriller","vampire, spider, wolfman, stew, best friend, antidote, based on young adult novel",English,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" whe",United States of America
Duplex,"Action, Comedy, Thriller",,English,"When a young couple buys their dream home, they have no idea what the sweet little old lady upstairs is going to put them through!","Germany, United States of America"
Soul Men,"Comedy, Music",duringcreditsstinger,English,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-dec",United States of America
Raise the Titanic,"Action, Drama, Thriller",,English,"To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the Titanic.",United Kingdom
Universal Soldier: The Return,"Action, Science Fiction","super computer, computer program, destiny, timebomb",English,"Luc Deveraux, the heroic former Universal Soldier, is about to be thrown into action once again. When Seth (Michael Jai White), the supercomputer controlled ultra-warrior, decides to take revenge and ",United States of America
Pandorum,"Action, Horror, Mystery, Science Fiction, Thriller","dystopia, spaceship, survival, mission","English, Tiếng Việt, Deutsch","Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the realit","Germany, United Kingdom"
Impostor,"Action, Science Fiction, Thriller","android, alien",English,"Gary Sinise plays Spencer Olham, a top-secret government weapons designer who is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanti",United States of America
Extreme Ops,"Action, Adventure, Drama, Thriller",ski,English,"While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.",United States of America
Just Visiting,"Comedy, Fantasy, Science Fiction","time travel, remake, alternate history, dragon, remake of french film, alternate timeline, flatulence","English, Français","A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the y","France, United States of America"
Sunshine,"Science Fiction, Thriller","saving the world, bomb, sun, space marine, sunlight, solar energy, space mission, earth, expiration",English,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is ","United Kingdom, United States of America"
A Thousand Words,"Drama, Comedy","liar, literary agent",English,"Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja (Cliff Curtis) for his own selfish purposes. But Dr. Sinja is o",United States of America
Delgo,"Adventure, Fantasy, Animation, Comedy, Science Fiction, Family",,"English, Polski","In a divided land, it takes a rebellious boy and his clandestine love for a Princess of an opposing race to stop a war orchestrated by a power hungry villain.",United States of America
The Gunman,"Action, Drama, Crime","assassin, hitman","Español, English","Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violen","France, Spain, United Kingdom, United States of America"
Stormbreaker,"Adventure, Action, Family","england, secret intelligence service, child hero, wretch, teen spy, based on young adult novel",English,"Alex Rider thinks he is a normal school boy, until his uncle is killed. He discovers that his uncle was actually spy on a mission, when he was killed. Alex is recruited by Alan Blunt to continue the m","Germany, United Kingdom, United States of America"
Disturbia,"Thriller, Drama, Mystery","kidnapping, young people","English, Español","Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests",United States of America
Hackers,"Action, Crime, Thriller, Drama","female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence","English, Italiano, 日本語, Pусский","Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use",United States of America
The Hunting Party,"Action, Adventure, Thriller, Drama","civil war, spy, hotel, journalist, journalism, war crimes, hidden camera, war victim, war correspondent, war, balkan war, serbia","English, Magyar, ","An emerging journalist (Jesse Eisenberg), an experienced cameraman (Terrence Howard), and a discredited reporter (Richard Gere) find their bold plan to capture Bosnia's top war criminal quickly spiral","Bosnia and Herzegovina, United States of America"
The Hudsucker Proxy,"Comedy, Drama","suicide, new york, corruption, journalist, inventor, undercover, toy, plan, boss, investigation, company, industry, party, money, board, stocks",English,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,"Germany, United Kingdom, United States of America"
The Warlords,"Action, Drama, History","assassin, general, dynasty, brother, blood brother",普通话,"A heroic tale of three blood brothers and their struggle in the midst of war and political upheaval. It is based on ""The Assassination of Ma,"" a Qing Dynasty (1644-1911) story about the killing of gen","China, Hong Kong"
Nomad: The Warrior,"Action, History, War",,"English, қазақ, Română","The Nomad is a historical epic set in 18th-century Kazakhstan. The film is a fictionalised account of the youth and coming-of-age of Ablai Khan, as he grows and fights to defend the fortress at Hazrat","France, Kazakhstan"
Snowpiercer,"Action, Science Fiction, Drama","father son relationship, child labour, brothel, winter, allegory, bridge, post-apocalyptic, dystopia, hijacking of train, based on comic book, dam, rifle, pregnant, train, violence, based on graphic novel, guilt, revolt, duplicity, tunnel, social class, population control, perpetual winter, city ruin","English, Français, 日本語, 한국어/조선말","In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engi","South Korea, France, Czech Republic, United States of America"
A Monster in Paris,"Adventure, Animation, Comedy, Family, Fantasy","monster, cgi, 3d, paris france",Français,"Paris,1910. Emile, a shy movie projectionist, and Raoul, a colorful inventor, find themselves embarked on the hunt for a monster terrorizing citizens. They join forces with Lucille, the big-hearted st",France
The Last Shot,"Action, Comedy",,English,A movie director-screenwriter finds a man to finance his latest project but soon discovers that the producer is actually an undercover FBI agent working on a mob sting operation.,United States of America
The Crow,"Fantasy, Action, Thriller","halloween, arson, detroit",English,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exac",United States of America
Baahubali: The Beginning,"Action, Adventure, War, History","kingdom, war, bollywood, medieval india, ancient india",", తెలుగు, हिन्दी, தமிழ்","The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior/princes",India
The Time Traveler's Wife,"Drama, Romance, Fantasy","chicago, sex, based on novel, nudity, diary, future, time, time travel, marriage, love, romance, travel, tragic love, relationship, time traveler, complication",English,"Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire.",United States of America
Because I Said So,Comedy,"mother, guitar, sister sister relationship, profession, new love, architect, mother role, lonely hearts ad, men, clothing, single, mother daughter relationship, los angeles, fashion, single father",English,"In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep t",United States of America
Frankenweenie,"Animation, Comedy, Family","shyness, stop motion, black and white, retro, dog, animal death, animal lover",English,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's ",United States of America
Serenity,"Science Fiction, Action, Adventure, Thriller","martial arts, telepathy, dystopia, spaceship, fugitive, based on tv series, planet, throat slitting, cannibal, reavers, operative, ex soldier, firefly","English, 普通话","When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will dest",United States of America
Against the Ropes,"Romance, Drama","biography, sport",English,"A fictional story inspired by North America's most famous female boxing promoter, Jackie Kallen. Her struggle to survive and succeed in a male dominated sport.","Germany, United States of America"
Superman III,"Comedy, Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, super computer, identity crisis, loss of powers, sequel, superhero, based on comic book, hacking, super powers, superhuman strength","English, Italiano, Español, ภาษาไทย","Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the thi","United Kingdom, United States of America"
Grudge Match,Comedy,"father son relationship, sport, rivalry, elderly, elderly man",English,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,United States of America
Red Cliff,"Adventure, Drama, Action","flaming arrow, chinese history, strategy, carrier pigeon, spear throwing, wall of fire, white dove, casualty of war, arrow in back, chinese tradition, chinese painting, broken arrow","普通话, ภาษาไทย","In the early third century, the land of Wu is invaded by the warlord Cao Cao and his million soldiers. The ruler of Wu, Sun Quan, calls on the rival warlord Liu Bei for help, but their two armies are ",China
Sweet Home Alabama,"Comedy, Romance","new york, marriage proposal, alabama, career woman, fashion designer",English,"New York fashion designer Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But Melanie's past holds many secrets, including Jake, the redneck husband she married",United States of America
The Ugly Truth,"Comedy, Romance","romantic comedy, romance, tv morning show, relationship, opposites attract",English,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love,United States of America
Sgt. Bilko,"Comedy, Family","gulf war, u.s. army, based on tv series, military spoof",English,The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag grou,United States of America
Spy Kids 2: The Island of Lost Dreams,"Action, Adventure, Family","spy, experiment, island, secret organization, wretch, weapon, rivalry, scientist",English,"Exploring the further adventures of Carmen and Juni Cortez, who have now joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a v",United States of America
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller","based on tv series, death, exploding planet, mountain cabin, solar system",English,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's sche,United States of America
The Grandmaster,"Action, Drama, History","martial arts, kung fu, biography, kung fu master","广州话 / 廣州話, 日本語, 普通话",Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. Af,"China, Hong Kong"
Water for Elephants,"Drama, Romance","clown, elephant trainer, veterinary","English, Polski","In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angeli",United States of America
Dragon Nest: Warriors' Dawn,"Adventure, Family, Fantasy, Animation",,"广州话 / 廣州話, English, 普通话, Pусский","The land of Altera has observed an uneasy peace for years among Humans, Elves and Evil beasts who are loyal to the legendary Black Dragon. But the Black Dragon begins to stir from its hibernation, sen","China, France, United States of America"
The Hurricane,Drama,"prison, boxer, boxing match, boxing school, biography",English,"The story of Rubin ""Hurricane"" Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",United States of America
Enough,"Drama, Thriller","waitress, wife husband relationship, violent husband, self-defense, violence against women, suspense, marry rich, abusive husband",English,"Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shatter",United States of America
Heartbreakers,"Crime, Comedy, Romance",cons and scams,"English, Pусский","Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husban",United States of America
Paul Blart: Mall Cop 2,"Action, Comedy, Family","shopping mall, las vegas, security guard",English,"Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a he",United States of America
Angel Eyes,"Drama, Romance, Thriller","car crash, police officer",English,"A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice.",United States of America
Joe Somebody,Comedy,"profession, karate, daughter, beförderung, ex-wife, parking, slap",English,"When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduri",United States of America
The Ninth Gate,"Horror, Mystery, Thriller","new york, obsession, passion for collection, southern france, mephisto, antiquary, book, picture puzzle, castle, satanism, millionaire","English, Français, Latin, Polski, Português, Español","An all-expenses-paid international search for a rare copy of the book, 'The Nine Gates of the Shadow Kingdom' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic","France, Portugal, Spain"
Extreme Measures,"Drama, Thriller","new york, surgeon, british, suspense, morgue, hospital, medical, doctor, medical research, emergency room, missing body",English,"Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York who starts making unwanted enquiries when the body of a man who died in his emergency room disappears. The tr",United States of America
Rock Star,"Music, Drama, Comedy","rock star, success, discontentedness and displeasedness, heavy metal, relationship problems",English,"Rock Star tells the story of Chris Cole and a rock band called Steel Dragon. Cole is a photocopier technician by day, and the lead singer of a Steel Dragon tribute band called ""Blood Pollution"" by nig",United States of America
Precious,Drama,"aids, illiteracy, song, unwillingly pregnant, balloon, school, crying, motorcycle","English, Italiano","Set in Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father; at home, she must ",United States of America
White Squall,"Action, Drama","sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s","Dansk, English, Français, Deutsch",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,United States of America
The Thing,"Horror, Mystery, Science Fiction","ice, space marine, paranoia, snow storm, norwegian, research station, remake, alien, antarctica, shape shifting alien, sled dogs","English, Norsk",Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.,United States of America
Riddick,"Science Fiction, Action, Thriller","dystopia, revenge, alien, planet, imax",English,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from ",United States of America
Switchback,"Action, Adventure, Mystery, Thriller","loss of son, serial killer, train",English,FBI agent Dennis Quaid tries to catch a serial killer who kidnapped his son.,United States of America
Texas Rangers,"Action, Western","underwear, tiger, racial segregation",English,"Ten years after the Civil War has ended, the Governor of Texas asks Leander McNelly (McDermott) to form a company of Rangers to help uphold the law along the Mexican border. With a few veterans of the",United States of America
City of Ember,"Adventure, Family, Fantasy","underground world, mayor, adventure, post-apocalyptic, dystopia, puzzle, box, pipeworks",English,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city a",United States of America
The Master,Drama,"post traumatic stress  disorder, sexual obsession, postwar period, drifter, alcoholic, cult leader, scientology, religious cult, charismatic leader, right hand man",English,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader o",United States of America
Virgin Territory,"Adventure, Action, Comedy, Romance",,"English, Pусский","The film is set in Tuscany during the Black Death. As in the Decameron, ten young Florentines take refuge from the plague. But instead of telling stories, they have lusty adventures, bawdy exchanges, ","Luxembourg, Italy, France, United Kingdom"
The Express,Drama,"american football, college, biography, sport, syracuse university",English,"Based on the incredible true story, The Express follows the inspirational life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy.","Germany, United States of America"
The 5th Wave,"Adventure, Science Fiction","based on novel, dystopia, alien, alien invasion, human subjugation, environmental disaster, based on young adult novel",English,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,United States of America
Creed,Drama,"underdog, sport, spin off, underground fighting, motivational speaker, boxing",English,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",United States of America
The Town,"Crime, Drama, Thriller","based on novel, money laundering, ambulance, boston, massachusetts, bank manager, drug dealer, florist, flower shop, hold-up robbery, volunteer, stolen money, friends, car set on fire, boston garden, police chase, best friend, fenway park",English,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he take",United States of America
What to Expect When You're Expecting,"Romance, Comedy, Drama","based on novel, adoption, pregnant, miscarriage, expectant father, pregnant wife, vomiting, expecting twins, open air cinema, giving birth",English,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while ",United States of America
Burn After Reading,"Comedy, Drama","blackmail, paranoia, fitness-training, plastic surgery, autobiography, memory, corpse, divorce, gym, disc, ex priest",English,"When a disc containing memoirs of a former CIA analyst falls into the hands of Linda Litzke and Chad Feldheimer, the two gym employees see a chance to make enough money for her to have life-changing c","United States of America, United Kingdom, France"
Nim's Island,"Adventure, Comedy, Family, Fantasy","fictional place, exotic island, shipwreck, cruise, volcano, e-mail, liana, daughter, turtle, author, talking animal, pirate, woman director, iguana, sea lion",English,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,United States of America
Rush,"Drama, Action","world champion, sport, racing car, formula 1, automobile racing, based on true events","English, Deutsch, Italiano, Français",A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,"Germany, United Kingdom"
Magnolia,Drama,"farewell, regret, parents kids relationship, suicide attempt, becoming an adult, loss of father, dying and death, chance, child prodigy, daughter, unsociability, reconciliation","English, Français, Deutsch","An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",United States of America
Cop Out,"Action, Comedy, Crime","new york, money laundering, daughter, police, undercover cop, locked in trunk of car, baseball card, wedding, police officer, duringcreditsstinger","English, Español","Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites – especially when Paul's unpredictable antics get them suspended without pay. Already strapped ",United States of America
How to Be Single,"Comedy, Romance","new york, based on novel, one-night stand, single",English,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evo",United States of America
Dolphin Tale,"Drama, Family","dolphin, boy, trap, summer, tail",English,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,United States of America
Twilight,"Adventure, Fantasy, Drama, Romance","soulmates, vampire, forbidden love, immortality, trust, desire, duringcreditsstinger, woman director, interspecies romance, based on young adult novel, fang vamp",English,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-",United States of America
John Q,"Drama, Thriller, Crime","father son relationship, chicago, heart attack, kidnapping, heart disease, hostage-taking, hospital","English, Español","John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he dec",United States of America
Blue Streak,"Action, Comedy, Crime","robbery, diamant, police operation, police everyday life, thief, police officer, police station",English,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being bu","Germany, United States of America"
We're the Millers,"Comedy, Crime","mexico, police, gang, drug smuggling, drug, family",English,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,United States of America
The Inhabited Island,"Action, Fantasy, Science Fiction, Thriller","based on novel, brother sister relationship, sword fight, spaceship, strugatsky, brainwashing, big city, girlfriend from china, hard to kill, outer space, testting, testing, head of state",Pусский,"On the threshold of 22nd century, furrowing the space, protagonist from the Free Search Group makes emergency landing on an unknown planet where he must stay. People who are living on this planet have",Russia
Breakdown,"Drama, Action, Thriller","california, bank, ransom, car breakdown, kidnapping, donut, highway, barn, vacation, stranded, deception, murder, suspense, redneck, diner, extortion, captive, car chase, desert, moving, trucker",English,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker",United States of America
Never Say Never Again,"Adventure, Action, Thriller","video game, spy, bahamas, british, stealing, scuba diving, scuba, british secret service","English, Français, العربية, Español","James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally","Germany, United Kingdom, United States of America"
Hot Tub Time Machine,"Science Fiction, Comedy, Adventure","female nudity, one-night stand, time travel, time machine, incest overtones, hot tub, peter pan syndrome, forty something, skiing","Pусский, English","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",United States of America
Dolphin Tale 2,"Family, Drama","dolphin, aquarium, swimming",English,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.,United States of America
Reindeer Games,Thriller,"prison, robbery, role reversal, extramarital affair",English,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",United States of America
