title,genres,keywords,original_language,production_countries,spoken_languages
Pandorum,"Action, Horror, Mystery, Science Fiction, Thriller","dystopia, spaceship, survival, mission",en,"Germany, United Kingdom","English, Tieng Viet, German"
Impostor,"Action, Science Fiction, Thriller","android, alien",en,United States of America,English
Extreme Ops,"Action, Adventure, Drama, Thriller",ski,en,United States of America,English
Just Visiting,"Comedy, Fantasy, Science Fiction","time travel, remake, alternate history, dragon, remake of french film, alternate timeline, flatulence",en,"France, United States of America","English, French"
Sunshine,"Science Fiction, Thriller","saving the world, bomb, sun, space marine, sunlight, solar energy, space mission, earth, expiration",en,"United Kingdom, United States of America",English
A Thousand Words,"Drama, Comedy","liar, literary agent",en,United States of America,English
Delgo,"Adventure, Fantasy, Animation, Comedy, Science Fiction, Family",,en,United States of America,"English, Polski"
The Gunman,"Action, Drama, Crime","assassin, hitman",en,"France, Spain, United Kingdom, United States of America","Spanish, English"
Stormbreaker,"Adventure, Action, Family","england, secret intelligence service, child hero, wretch, teen spy, based on young adult novel",en,"Germany, United Kingdom, United States of America",English
Disturbia,"Thriller, Drama, Mystery","kidnapping, young people",en,United States of America,"English, Spanish"
Hackers,"Action, Crime, Thriller, Drama","female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence",en,United States of America,"English, Italiano"
The Hunting Party,"Action, Adventure, Thriller, Drama","civil war, spy, hotel, journalist, journalism, war crimes, hidden camera, war victim, war correspondent, war, balkan war, serbia",en,"Bosnia and Herzegovina, United States of America","English, Magyar"
The Hudsucker Proxy,"Comedy, Drama","suicide, new york, corruption, journalist, inventor, undercover, toy, plan, boss, investigation, company, industry, party, money, board, stocks",en,"Germany, United Kingdom, United States of America",English
The Warlords,"Action, Drama, History","assassin, general, dynasty, brother, blood brother",zh,"China, Hong Kong",
Nomad: The Warrior,"Action, History, War",,en,"France, Kazakhstan","English, Romana"
Snowpiercer,"Action, Science Fiction, Drama","father son relationship, child labour, brothel, winter, allegory, bridge, post-apocalyptic, dystopia, hijacking of train, based on comic book, dam, rifle, pregnant, train, violence, based on graphic novel, guilt, revolt, duplicity, tunnel, social class, population control, perpetual winter, city ruin",ko,"South Korea, France, Czech Republic, United States of America","English, French, ,"
A Monster in Paris,"Adventure, Animation, Comedy, Family, Fantasy","monster, cgi, 3d, paris france",fr,France,French
The Last Shot,"Action, Comedy",,en,United States of America,English
The Crow,"Fantasy, Action, Thriller","halloween, arson, detroit",en,United States of America,English
Baahubali: The Beginning,"Action, Adventure, War, History","kingdom, war, bollywood, medieval india, ancient india",te,India,
The Time Traveler's Wife,"Drama, Romance, Fantasy","chicago, sex, based on novel, nudity, diary, future, time, time travel, marriage, love, romance, travel, tragic love, relationship, time traveler, complication",en,United States of America,English
Because I Said So,Comedy,"mother, guitar, sister sister relationship, profession, new love, architect, mother role, lonely hearts ad, men, clothing, single, mother daughter relationship, los angeles, fashion, single father",en,United States of America,English
Frankenweenie,"Animation, Comedy, Family","shyness, stop motion, black and white, retro, dog, animal death, animal lover",en,United States of America,English
Serenity,"Science Fiction, Action, Adventure, Thriller","martial arts, telepathy, dystopia, spaceship, fugitive, based on tv series, planet, throat slitting, cannibal, reavers, operative, ex soldier, firefly",en,United States of America,English
Against the Ropes,"Romance, Drama","biography, sport",en,"Germany, United States of America",English
Superman III,"Comedy, Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, super computer, identity crisis, loss of powers, sequel, superhero, based on comic book, hacking, super powers, superhuman strength",en,"United Kingdom, United States of America","English, Italiano, Spanish"
Grudge Match,Comedy,"father son relationship, sport, rivalry, elderly, elderly man",en,United States of America,English
Red Cliff,"Adventure, Drama, Action","flaming arrow, chinese history, strategy, carrier pigeon, spear throwing, wall of fire, white dove, casualty of war, arrow in back, chinese tradition, chinese painting, broken arrow",zh,China,
Sweet Home Alabama,"Comedy, Romance","new york, marriage proposal, alabama, career woman, fashion designer",en,United States of America,English
The Ugly Truth,"Comedy, Romance","romantic comedy, romance, tv morning show, relationship, opposites attract",en,United States of America,English
Sgt. Bilko,"Comedy, Family","gulf war, u.s. army, based on tv series, military spoof",en,United States of America,English
Spy Kids 2: The Island of Lost Dreams,"Action, Adventure, Family","spy, experiment, island, secret organization, wretch, weapon, rivalry, scientist",en,United States of America,English
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller","based on tv series, death, exploding planet, mountain cabin, solar system",en,United States of America,English
The Grandmaster,"Action, Drama, History","martial arts, kung fu, biography, kung fu master",zh,"China, Hong Kong",","
Water for Elephants,"Drama, Romance","clown, elephant trainer, veterinary",en,United States of America,"English, Polski"
Dragon Nest: Warriors' Dawn,"Adventure, Family, Fantasy, Animation",,zh,"China, France, United States of America",",, English"
The Hurricane,Drama,"prison, boxer, boxing match, boxing school, biography",en,United States of America,English
Enough,"Drama, Thriller","waitress, wife husband relationship, violent husband, self-defense, violence against women, suspense, marry rich, abusive husband",en,United States of America,English
Heartbreakers,"Crime, Comedy, Romance",cons and scams,en,United States of America,English
Paul Blart: Mall Cop 2,"Action, Comedy, Family","shopping mall, las vegas, security guard",en,United States of America,English
Angel Eyes,"Drama, Romance, Thriller","car crash, police officer",en,United States of America,English
Joe Somebody,Comedy,"profession, karate, daughter, beforderung, ex-wife, parking, slap",en,United States of America,English
The Ninth Gate,"Horror, Mystery, Thriller","new york, obsession, passion for collection, southern france, mephisto, antiquary, book, picture puzzle, castle, satanism, millionaire",en,"France, Portugal, Spain","English, French, Latin, Polski, Portugues, Spanish"
Extreme Measures,"Drama, Thriller","new york, surgeon, british, suspense, morgue, hospital, medical, doctor, medical research, emergency room, missing body",en,United States of America,English
Rock Star,"Music, Drama, Comedy","rock star, success, discontentedness and displeasedness, heavy metal, relationship problems",en,United States of America,English
Precious,Drama,"aids, illiteracy, song, unwillingly pregnant, balloon, school, crying, motorcycle",en,United States of America,"English, Italiano"
White Squall,"Action, Drama","sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s",en,United States of America,"Dansk, English, French, German"
The Thing,"Horror, Mystery, Science Fiction","ice, space marine, paranoia, snow storm, norwegian, research station, remake, alien, antarctica, shape shifting alien, sled dogs",en,United States of America,"English, Norsk"
Riddick,"Science Fiction, Action, Thriller","dystopia, revenge, alien, planet, imax",en,United States of America,English
Switchback,"Action, Adventure, Mystery, Thriller","loss of son, serial killer, train",en,United States of America,English
Texas Rangers,"Action, Western","underwear, tiger, racial segregation",en,United States of America,English
City of Ember,"Adventure, Family, Fantasy","underground world, mayor, adventure, post-apocalyptic, dystopia, puzzle, box, pipeworks",en,United States of America,English
The Master,Drama,"post traumatic stress disorder, sexual obsession, postwar period, drifter, alcoholic, cult leader, scientology, religious cult, charismatic leader, right hand man",en,United States of America,English
Virgin Territory,"Adventure, Action, Comedy, Romance",,en,"Luxembourg, Italy, France, United Kingdom",English
The Express,Drama,"american football, college, biography, sport, syracuse university",en,"Germany, United States of America",English
The 5th Wave,"Adventure, Science Fiction","based on novel, dystopia, alien, alien invasion, human subjugation, environmental disaster, based on young adult novel",en,United States of America,English
Creed,Drama,"underdog, sport, spin off, underground fighting, motivational speaker, boxing",en,United States of America,English
The Town,"Crime, Drama, Thriller","based on novel, money laundering, ambulance, boston, massachusetts, bank manager, drug dealer, florist, flower shop, hold-up robbery, volunteer, stolen money, friends, car set on fire, boston garden, police chase, best friend, fenway park",en,United States of America,English
What to Expect When You're Expecting,"Romance, Comedy, Drama","based on novel, adoption, pregnant, miscarriage, expectant father, pregnant wife, vomiting, expecting twins, open air cinema, giving birth",en,United States of America,English
Burn After Reading,"Comedy, Drama","blackmail, paranoia, fitness-training, plastic surgery, autobiography, memory, corpse, divorce, gym, disc, ex priest",en,"United States of America, United Kingdom, France",English
Nim's Island,"Adventure, Comedy, Family, Fantasy","fictional place, exotic island, shipwreck, cruise, volcano, e-mail, liana, daughter, turtle, author, talking animal, pirate, woman director, iguana, sea lion",en,United States of America,English
Rush,"Drama, Action","world champion, sport, racing car, formula 1, automobile racing, based on true events",en,"Germany, United Kingdom","English, German, Italiano, French"
Magnolia,Drama,"farewell, regret, parents kids relationship, suicide attempt, becoming an adult, loss of father, dying and death, chance, child prodigy, daughter, unsociability, reconciliation",en,United States of America,"English, French, German"
Cop Out,"Action, Comedy, Crime","new york, money laundering, daughter, police, undercover cop, locked in trunk of car, baseball card, wedding, police officer, duringcreditsstinger",en,United States of America,"English, Spanish"
How to Be Single,"Comedy, Romance","new york, based on novel, one-night stand, single",en,United States of America,English
Dolphin Tale,"Drama, Family","dolphin, boy, trap, summer, tail",en,United States of America,English
Twilight,"Adventure, Fantasy, Drama, Romance","soulmates, vampire, forbidden love, immortality, trust, desire, duringcreditsstinger, woman director, interspecies romance, based on young adult novel, fang vamp",en,United States of America,English
John Q,"Drama, Thriller, Crime","father son relationship, chicago, heart attack, kidnapping, heart disease, hostage-taking, hospital",en,United States of America,"English, Spanish"
Blue Streak,"Action, Comedy, Crime","robbery, diamant, police operation, police everyday life, thief, police officer, police station",en,"Germany, United States of America",English
We're the Millers,"Comedy, Crime","mexico, police, gang, drug smuggling, drug, family",en,United States of America,English
The Inhabited Island,"Action, Fantasy, Science Fiction, Thriller","based on novel, brother sister relationship, sword fight, spaceship, strugatsky, brainwashing, big city, girlfriend from china, hard to kill, outer space, testting, testing, head of state",ru,Russia,
Breakdown,"Drama, Action, Thriller","california, bank, ransom, car breakdown, kidnapping, donut, highway, barn, vacation, stranded, deception, murder, suspense, redneck, diner, extortion, captive, car chase, desert, moving, trucker",en,United States of America,English
Never Say Never Again,"Adventure, Action, Thriller","video game, spy, bahamas, british, stealing, scuba diving, scuba, british secret service",en,"Germany, United Kingdom, United States of America","English, French, Spanish"
Hot Tub Time Machine,"Science Fiction, Comedy, Adventure","female nudity, one-night stand, time travel, time machine, incest overtones, hot tub, peter pan syndrome, forty something, skiing",en,United States of America,English
Dolphin Tale 2,"Family, Drama","dolphin, aquarium, swimming",en,United States of America,English
Reindeer Games,Thriller,"prison, robbery, role reversal, extramarital affair",en,United States of America,English
A Man Apart,"Action, Drama","repayment, arbitrary law, cop, loss of wife",en,"Germany, United States of America","English, Spanish"
Aloha,"Drama, Comedy, Romance","love triangle, hawaii, satellite, military, duringcreditsstinger, communication",en,United States of America,English
Ghosts of Mississippi,"History, Drama","assassin, widow, trial, civil rights, activist",en,United States of America,English
Snow Falling on Cedars,"Drama, Romance","journalist, japanese, wife, fisherman, war, bias, trial, washington state, japanese american",en,United States of America,"German, English"
The Rite,"Drama, Thriller, Horror","vatican, violinist, hospital, miscarriage, exorcist, roman catholic, seminary, limp, toad, clergy, formalin, walking cane",en,"United States of America, Hungary, Italy","English, Italiano, Magyar, Latin, Cymraeg"
Gattaca,"Thriller, Science Fiction, Mystery, Romance","paraplegic, suicide attempt, cheating, dna, spaceman, new identity, heart disease, false identity, blood sample, biotechnology, space mission, dystopia, investigation, genetics, hostility, exercise, eugenics, dystopic future",en,United States of America,"English, Esperanto"
Isn't She Great,"Drama, Comedy","autism, based on article",de,United States of America,English
Space Chimps,"Animation, Family","space marine, chimp, space, aftercreditsstinger",en,United States of America,English
Head of State,Comedy,"usa, black people, usa president, presidential election, election campaign",en,United States of America,English
The Hangover,Comedy,"underwear, tiger, stag night, hangover, lost weekend, bag over head, chapel, hit with tire iron, memory loss, las vegas, duringcreditsstinger, elevator",en,"Germany, United States of America",English
Ip Man 3,"Action, Drama, History",biography,cn,Hong Kong,",, English"
Austin Powers: The Spy Who Shagged Me,"Adventure, Comedy, Crime, Science Fiction","saving the world, moon, submarine, clone, spy, cia, showdown, android, usa president, exotic island, cat, lasergun, nasa, undercover, space marine, car journey, auto, time travel, supermodel, single, aftercreditsstinger, duringcreditsstinger",en,United States of America,"German, English"
Batman,"Fantasy, Action","double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers",en,"United Kingdom, United States of America","English, French"
There Be Dragons,Drama,"spanish civil war, priest, independent film, catholic, dying, saint, martyrdom",en,,English
Lethal Weapon 3,"Adventure, Action, Comedy, Thriller, Crime","rookie cop, dog biscuit, shooting practice, sitting on a toilet, judo throw, police psychologist, buddy cop, firing range, aftercreditsstinger",en,United States of America,English
The Blind Side,Drama,"american football, adoption, education, private school, sport, american football player, duringcreditsstinger",en,United States of America,English
Spy Kids,"Action, Comedy, Family, Adventure","double life, parents kids relationship, brother sister relationship, loss of parents, secret agent, robot",en,United States of America,"Spanish, English"
Horrible Bosses,"Comedy, Crime","conspiracy of murder, bad boss, employee, death of father, stakeout, duringcreditsstinger",en,United States of America,English
True Grit,"Drama, Adventure, Western","loss of father, father murder, texas ranger, alcoholism, betrayal",en,United States of America,English
The Devil Wears Prada,"Comedy, Drama, Romance","paris, journalist, journalism, world of fasion, fashion journal, assistant, job entrant, job interview, editor-in-chief",en,United States of America,"English, French"
Star Trek: The Motion Picture,"Science Fiction, Adventure, Mystery","artificial intelligence, uss enterprise, starfleet, san francisco, self sacrifice, spacecraft, klingon, vulcan, space opera",en,United States of America,English
Identity Thief,"Comedy, Crime",,en,United States of America,English
Cape Fear,"Crime, Thriller","prison, child abuse, rape, small town, daughter, police, revenge, lawyer, cigar smoking, fear, dog, rapist",en,United States of America,English
21,"Drama, Crime","gambling, card game, professor, harvard university, cohabitant, college, girlfriend, studies, dormitory, friendship, blackjack",en,United States of America,English
Trainwreck,Comedy,"alcohol, one-night stand",en,United States of America,English
Guess Who,"Comedy, Romance","black people, jealousy, parents-in-law, trouble, fiancee",en,United States of America,"French, English, Polski, Portugues"
The English Patient,"Drama, Romance, War","cairo, egypt, identity, amnesia, world war ii, burn, landmine, expedition, cave, sandstorm, royal geographic society, cave painting, prisoners of war, map, mine clearer, hearing, desert scientist, intelligence, traitor, mural painting, airplane, secret love",en,"United Kingdom, United States of America","German, Italiano, English"
L.A. Confidential,"Crime, Drama, Mystery, Thriller","corruption, detective, shotgun, morgue, f word, domestic violence, corpse, crime, district attorney, bandage, movie star, man with glasses, knife in thigh, good cop bad cop, switchblade, call girl, 1950s, falsifying",en,United States of America,English
Sky High,"Adventure, Comedy, Family","hero, loyalty, mockery, supernatural powers, high school, mission, super powers, teen superheroes",en,United States of America,English
In & Out,"Comedy, Romance","gay, homophobia, coming out, lgbt",en,United States of America,English
Species,"Science Fiction, Horror, Action","telepathy, dna, paranoia, genetics, instinct, femme fatale, alien, on the run, decapitation, sexual attraction, los angeles, cocoon, genetic engineering, scientists, alien dna",en,United States of America,English
A Nightmare on Elm Street,Horror,"child murderer, sleep, nightmare, supernatural, slasher, teenager, trapped, alcoholic, boiler room, booby trap, disfigurement, medical test, dreams",en,United States of America,English
The Cell,"Horror, Science Fiction, Thriller","drowning, therapist, virtual reality, serial killer, psychopathy, fbi agent",en,"Germany, United States of America",English
The Man in the Iron Mask,"Action, Adventure, Drama","france, swordplay, mask, musketeer",en,"United Kingdom, United States of America",English
Secretariat,Drama,"horse race, horseback riding, biography",en,United States of America,English
TMNT,"Adventure, Animation, Comedy, Family","new york, brother brother relationship, journalist, martial arts, crime fighter, secret identity, mutant, turtle, love, based on comic book, reunion, brother against brother",en,United States of America,English
Radio,Drama,"biography, friendship, sport",en,United States of America,English
Friends with Benefits,"Romance, Comedy","funeral, friends, hospital, aftercreditsstinger, duringcreditsstinger",en,United States of America,English
Neighbors 2: Sorority Rising,Comedy,"alcohol, college, party, sequel, sorority, neighbor, family, fraternity, bathroom humor",en,United States of America,English
Saving Mr. Banks,"Comedy, Drama, History","biography, animation, writer, moviemaking",en,"Australia, United Kingdom, United States of America",English
Malcolm X,"Drama, History","islam, new york, prison, assassination, ku klux klan, muslim, police brutality, beach, koran, jail guard, prison cell, bible, biography, martin luther king, nation of islam, civil rights movement, mekka, pilgrimage, cabriolet, police, historical figure, malcolm x",en,United States of America,English
This Is 40,Comedy,"wife husband relationship, children, family relationships, duringcreditsstinger",en,United States of America,English
Old Dogs,"Comedy, Family","japanese, camp, best friend, co-worker, kids, duringcreditsstinger, sports marketing firm",en,United States of America,English
Underworld: Rise of the Lycans,"Fantasy, Action, Adventure, Science Fiction, Thriller","prison, underworld, slavery, castle, vampire, war, werewolf, battle, slave, dungeon, fang vamp",en,United States of America,English
License to Wed,Comedy,"new love, ten commandments, bride, bridegroom, marriage, relation, partnership, civil registry office, priest, wedding, church",en,"Australia, United States of America",English
The Benchwarmers,Comedy,"baseball, pizza, sport, paperboy, team, homerun, video store",en,United States of America,"English, Spanish"
Must Love Dogs,"Comedy, Romance","sister sister relationship, make a match, single, children, teacher, dating, divorce, pet dog, computer dating, internet dating, wooden boats",en,United States of America,English
Donnie Brasco,"Crime, Drama, Thriller","undercover, colombia, mafia, mobster, dirty cop, informant, stealing money, marriage counselor, shaving cream, playing cards",en,United States of America,"English, Italiano"
Resident Evil,"Horror, Action, Science Fiction","undercover, mutant, dystopia, conspiracy, zombie, based on video game",en,"France, Germany, United Kingdom, United States of America",English
Poltergeist,Horror,"medium, ghostbuster, poltergeist, haunted house, dying and death, family relationships, good vs evil, paranormal phenomena, power of goodness, parent-child bond, haunted",en,United States of America,English
The Ladykillers,"Comedy, Crime, Thriller","church choir, hiding place, garbage, duringcreditsstinger",en,United States of America,"English, Tieng Viet"
Max Payne,Action,"assassin, based on video game, aftercreditsstinger",en,"United States of America, Canada","English, Spanish"
In Time,"Action, Thriller, Science Fiction","bank, future, time, dystopia, race against time, immortality, on the run, class differences, cops and robbers, rich vs poor",en,United States of America,English
The Back-Up Plan,"Comedy, Romance","kiss, sperm bank, romantic comedy, male female relationship, doctor, pregnancy, single mother, artificial insemination, motherhood, duringcreditsstinger",en,United States of America,English
Something Borrowed,"Comedy, Drama, Romance","new york, alcohol, based on novel, secret, cheating, birthday, destroy, friends, crush, lawyer, best friend, wedding, pregnancy, relationship, celebration, roses, lying, flashback, engaged, loyal, liaison, confidant",en,United States of America,English
Black Knight,"Adventure, Comedy, Fantasy","england, black people, medallion, castle, time travel, leap in time, knight, impostor, king, middle ages, imposture, medieval times",en,United States of America,English
The Bad News Bears,"Comedy, Family","baseball, sport, little league",en,United States of America,"English, Spanish"
Street Fighter,"Action, Adventure, Thriller","dictator, martial arts, hostage, liberation of hostage, hostage-taking, street fighter, united nations, based on video game",en,"Japan, United States of America",English
The Pianist,"Drama, War","individual, resistance, radio station, war crimes, loss of family, child murderer, hunger, world war ii, prisoners of war, homeland, deportation, hiding place, ghetto riot, jew persecution, liberation, warsaw ghetto, polish resistance, nazis, biography, classical music, panzer, pianist",en,"France, Germany, Poland, United Kingdom","English, German"
The Nativity Story,"Drama, History","jesus christ, bible, three kings, archangel gabriel, christian, blessed hope, wise men, woman director",en,United States of America,"English, Portugues"
House of Wax,Horror,"american football, traffic jam, remake, murder, suspense, wax museum, teenager, group of friends, ghost town, wax",en,United States of America,English
Closer,"Drama, Romance","father son relationship, love at first sight, photographer, loss of lover, cheating, lie, forbidden love, tea, lover, kiss, photography, secret love, times square, liar, sexchat, based on play, death of father, falling in love",en,United States of America,English
J. Edgar,"Drama, Crime, History","biography, historical figure, fbi director",en,United States of America,English
Mirrors,"Horror, Mystery, Thriller","schizophrenia, night watchman, subway, hallucination, alcoholism, ex-cop, possession, morgue, rural setting, medication, demon, psychiatrist, mirror, estranged wife, nypd, evil, newspaper clipping",en,"Romania, United States of America",English
Queen of the Damned,"Drama, Fantasy, Horror","queen, rock star, secret society, vampire, light, bite, music, spontaneous combustion, fatal attraction, fang vamp",en,"Australia, United States of America",English
Predator 2,"Science Fiction, Action, Thriller","predator, war on drugs, extraterrestrial technology, los angeles, invisible",en,United States of America,English
Untraceable,Drama,"suicide, fbi, kidnapping, snuff, sadism, investigation, police, psychopath, webcam, website, murder, serial killer, internet, torture, violence, voyeur",en,United States of America,English
Blast from the Past,"Comedy, Romance","isolation, atomic bomb, bunker, shelter",en,United States of America,"Latin, English, French, German"
Flash Gordon,Science Fiction,"emperor, solar eclipse, prince, tv duel, fighter, deception, hood, scientist, sword and planet",en,United States of America,English
Jersey Girl,"Comedy, Romance","yuppie, daughter, loss of wife",en,United States of America,English
Alex Cross,"Action, Thriller, Crime, Mystery",ex military,en,United States of America,"English, German"
Midnight in the Garden of Good and Evil,"Crime, Drama, Mystery, Thriller","drag queen, voodoo, savannah",en,United States of America,English
Heist,"Crime, Action, Thriller","casino, robbery, bus hijacking, heist",en,United States of America,English
Nanny McPhee and the Big Bang,"Comedy, Fantasy","nanny, fantasy, children, aftercreditsstinger, duringcreditsstinger, woman director",en,"United States of America, United Kingdom, France",English
Hoffa,"Crime, History","policy and organisations, power, trade union, gangster",en,United States of America,"English, Italiano, Latin"
The X Files: I Want to Believe,"Drama, Mystery, Science Fiction, Thriller","extraterrestrial technology, fbi, alien, fbi agent, duringcreditsstinger",en,"Canada, United States of America",English
Ella Enchanted,"Family, Fantasy, Comedy","elves, based on novel, magic, fairy, prince, fairy tale, spell, fantasy world, giant, ogre, obedience, fairy godmother, elf",en,"Ireland, United Kingdom",English
Concussion,Drama,"american football, concussion, biography, professional sports, brain damage, sports injury, nfl, medical drama, human brain",en,"Australia, United States of America, United Kingdom",English
Abduction,"Thriller, Action, Mystery","cia, airport, hero, fight, kidnapping, time bomb, training, webcam, website, party, on the run, hospital, train, teenager",en,United States of America,English
Valiant,"Animation, Family, Adventure","animation, animal, 3d",en,United Kingdom,English
Wonder Boys,"Comedy, Drama","adultery, robbery, based on novel, professor, college, police, party, liar, marijuana, writer, university, drug, dog",en,"Germany, Japan, United Kingdom, United States of America",English
Superhero Movie,"Action, Comedy, Science Fiction","anti hero, high school, dragonfly, superhero, radioactive, duringcreditsstinger",en,United States of America,English
Broken City,"Thriller, Crime, Drama","mayor, investigation, politics, ex-cop, revenge, double crossed, private detective",en,United States of America,English
Cursed,"Horror, Comedy","brother sister relationship, bite, transformation, supernatural powers, werewolf",en,"Germany, United States of America",English
Premium Rush,"Crime, Action, Thriller","new york, dirty cop, bicycle courier, duringcreditsstinger, race against the clock, cyclist, bike messenger",en,United States of America,English
Hot Pursuit,"Action, Comedy, Crime","texas, prisoner, cop, drug cartel, on the run, police officer, prisoner on the run, woman director",en,United States of America,"Spanish, English"
The Four Feathers,"War, Adventure, Drama, Romance","islam, sex, loyalty, bravery, army, revenge, honor, murder, escape, soldier, battle, church, violence, britain, slave, colonialism, military, imperialism",en,"United Kingdom, United States of America",English
Parker,"Action, Crime","professional thief, jewel robbery",en,United States of America,English
Wimbledon,"Comedy, Romance","tennis, new love, tennis player, australia, wimbledon",en,"France, United Kingdom",English
Furry Vengeance,Comedy,"bear, animal, aftercreditsstinger, duringcreditsstinger, real estate, land developer, real estate developer",en,"United Arab Emirates, United States of America",English
Bait,"Action, Horror, Thriller","drowning, supermarket, shark attack, australian, flooding, australia, tsunami, gore, shark, flood, 3d",en,"Singapore, Australia",English
Krull,"Fantasy, Action, Adventure","kingdom, lightsaber, cult favorite, dead body, magical object, fortress, doppelganger, cyclops, changeling",en,"Spain, United Kingdom, Italy, United States of America",English
Lions for Lambs,"Action, Adventure, Drama, History","journalist, terrorist, war against terror, externally controlled action, manipulation, propaganda, manipulation of the media, future, afghanistan, political negotiations, war, past, war in afghanistan",en,United States of America,English
Flight of the Intruder,"Action, Adventure, Drama, Thriller","bomber, vietnam war, u.s. navy, aviation, combat, bombing",en,United States of America,English
Walk Hard: The Dewey Cox Story,"Comedy, Music","music record, rock and roll, pop, hip-hop, fab four, blues, pop star, rapper, record producer, rock, music, music instrument, wedding, extramarital affair, aftercreditsstinger",en,United States of America,English
The Shipping News,"Drama, Romance","sex, adultery, based on novel, fishing, isolation, kidnapping, newfoundland, survival, reporter, drunk",en,United States of America,English
American Outlaws,"Action, Western","sheriff, horse, outlaw, jesse james, cole younger",en,United States of America,English
The Young Victoria,"Drama, History, Romance","royal family, biography, royalty, period drama, queen victoria, prince albert, 19th century, british monarchy",en,"United Kingdom, United States of America","English, Magyar"
Whiteout,"Action, Crime, Mystery, Thriller","airplane, based on comic book, corpse, stich",en,"Canada, France, United States of America",English
The Tree of Life,"Drama, Fantasy","philosophy, father son relationship, red hair, brother sister relationship, sun, telegram, tree, meteor, afterlife, death of a child, independent film, spirituality, outer space, dinosaur, voice over, very little dialogue, tarkovskyesque",en,United States of America,English
Knock Off,"Action, Adventure, Thriller","parking garage, freighter, fundraiser",en,"Aruba, Hong Kong, United States of America","English, Italiano"
Sabotage,"Action, Drama, Thriller, Crime","drug cartel, dea",en,United States of America,English
The Order,"Drama, Fantasy, Horror, Mystery, Romance, Thriller","riddle, rome, vatican, secret organization, investigation, sin, repentance, priest, psychological thriller, violence, catholic church, sin eater, mentor protege relationship, reference to god, suspicious death",en,"Germany, United States of America",English
Punisher: War Zone,"Action, Crime","broken neck, fbi agent, wall safe, trashed house, aerial shot, military dress uniform, vanity, flare, woman director",en,"Canada, Germany, United States of America",English
Zoom,"Family, Fantasy, Comedy","superhero, kids and family",en,United States of America,English
The Walk,"Adventure, Drama, Thriller","1970s, skyscraper, based on true story, tightrope, planning, world trade center",en,United States of America,"French, English"
Warriors of Virtue,"Fantasy, Family, Action","american football, mythology, chinese food, kangaroo",en,"China, United States of America",English
A Good Year,"Comedy, Drama, Romance","provence, wine cellar, vineyard, wine garden, wine, winegrower",en,United States of America,"English, French"
Radio Flyer,Drama,"step father, physical abuse, abuse",en,United States of America,English
Bound by Honor,"Action, Crime, Drama, Thriller","juvenile prison, artist, jail, east l.a., hood, gang, youth gang, racism, drug, mexican american, barrio, police shootout, cholo, lowrider",en,United States of America,English
Smilla's Sense of Snow,"Action, Crime, Drama, Mystery, Thriller","copenhagen, inuit, comet, arctic, snow",en,"Germany, Denmark, Sweden",English
Femme Fatale,"Thriller, Crime, Romance","paris, france, new identity, paparazzi, cannes",en,"Switzerland, France","English, French, Spanish"
Lion of the Desert,"Action, History, War","italy, middle east, resistance, world war ii, libya, benito mussolini, based on true story, guerrilla warfare",en,"Libyan Arab Jamahiriya, United States of America","English, French, Spanish"
The Horseman on the Roof,"War, Adventure, Drama, Romance","italian, new love, provence, horse, exile",en,France,"French, Italiano"
Ride with the Devil,"Drama, War, Romance, Western","civil war, friends, bush whacker, raid",en,United States of America,English
Biutiful,Drama,"immigrant, illegal immigrant, chinese, single father",es,"Mexico, Spain",",, Spanish, Wolof"
Bandidas,"Action, Comedy, Western, Crime","mexico, bank robber, revenge, best friend, bank robbery, bank vault, steam locomotive",es,"United States of America, France, Mexico","English, Spanish"
Black Water Transit,"Drama, Crime",,en,United States of America,English
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","based on novel, maze, post-apocalyptic, dystopia, escape, memory loss, erased memory, trapped, dystopic future, runner, based on young adult novel",en,United States of America,English
Unfinished Business,Comedy,"europe, business trip",en,United States of America,English
The Age of Innocence,"Drama, Romance","upper class, new york, lover, countess, lawyer, 19th century",en,United States of America,"English, Italiano"
The Fountain,"Drama, Adventure, Science Fiction, Romance",,en,United States of America,English
Chill Factor,"Action, Comedy, Thriller",,en,United States of America,English
Stolen,"Action, Crime, Drama, Thriller","taxi driver, thief, fbi agent",en,United States of America,"Swedish, English"
Ponyo,"Animation, Family","mother, fish, cliff, father, mermaid, princess, anime",ja,Japan,
The Longest Ride,"Drama, Romance","based on novel, art student, cowboy, injury, bull riding, romantic drama, young adult",en,United States of America,English
The Astronaut's Wife,"Drama, Science Fiction, Thriller","wife husband relationship, space travel, space, mission, pregnancy, astronaut",en,United States of America,English
I Dreamed of Africa,"Romance, Drama, Adventure",africa,en,United States of America,English
Playing for Keeps,"Comedy, Romance","mother, father son relationship, field, athlete, soccer, parent, penalty kick",en,United States of America,English
